Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo
2022,1,1533240,6073426,2219533,545.814,251.996,10624009,Ene-Mar 2022
2021,4,1657615,5984240,2072236,523.107,252.596,10489794,Oct-Dic 2021
2021,3,1950631,5826257,1566048,492.415,250.19,10085541,Jul-Sept 2021
2021,2,2018587,5641731,1472246,476.968,253.552,9863084,Abr-Jun 2021
2021,1,2175211,5424782,1362976,434.548,250.455,9647972,Ene-Mar 2021
2020,4,2213949,5371824,1311199,421.554,253.036,9571562,Oct-Dic 2020
2020,3,2263889,5259351,1170879,413.259,248.821,9356199,Jul-Sept 2020
2020,2,2295533,5005115,1106725,376.667,247.016,9031056,Abr-Jun 2020
2020,1,2299457,4903674,1047817,352.333,209.145,8812426,Ene-Mar 2020
2019,4,2414575,4883869,941295,340.144,213.298,8793181,Oct-Dic 2019
2019,3,2909805,4800091,852221,338.241,264.326,9164684,Jul-Sept 2019
2019,2,2990457,4635575,760794,308.027,265.328,8960181,Abr-Jun 2019
2019,1,3132789,4435439,637099,276.419,166.389,8648135,Ene-Mar 2019
2018,4,3329027,4313831,388013,264.299,178.485,8473655,Oct-Dic 2018
2018,3,3521447,4238171,247366,246.181,93.87,8347035,Jul-Sept 2018
2018,2,3557216,4038141,226285,194.267,94.535,8110444,Abr-Jun 2018
2018,1,3574294,3981129,217460,165.3,98.87,8037053,Ene-Mar 2018
2017,4,3584311,3818157,211425,155.775,100.554,7870222,Oct-Dic 2017
2017,3,3622575,3670221,193964,106.443,131.74,7724943,Jul-Sept 2017
2017,2,3723518,3383434,180777,85.813,56.122,7429664,Abr-Jun 2017
2017,1,3708898,3276251,180146,84.813,55.746,7305854,Ene-Mar 2017
2016,4,3722794,3210602,178070,85.119,55.088,7251673,Oct-Dic 2016
2016,3,3776442,3124855,169898,81.455,54.3,7206950,Jul-Sept 2016
2016,2,3782085,3035272,167788,85.452,59.482,7130079,Abr-Jun 2016
2016,1,3792493,2806359,164371,85.37,58.763,6907356,Ene-Mar 2016
2015,4,3803024,2898226,139187,85.726,58.668,6984831,Oct-Dic 2015
2015,3,3788696,2840203,162663,84.53,58.976,6935068,Jul-Sept 2015
2015,2,3767821,2756294,150839,82.077,59.157,6816188,Abr-Jun 2015
2015,1,3756153,2668248,168188,79.098,66.045,6737732,Ene-Mar 2015
2014,4,3764038,2536219,149682,76.984,71.573,6598496,Oct-Dic 2014
2014,3,3714764,2569868,155494,85.096,70.049,6595271,Jul-Sept 2014
2014,2,3708882,2461670,149363,72.405,72.148,6464468,Abr-Jun 2014
2014,1,3697066,2407330,150323,70.749,72.93,6398398,Ene-Mar 2014
