Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total
2022,1,34.89,104.84,1263273,1209148,967508,509830,6336187,198.333,10624009
2021,4,41.262,28.521,1413208,1245333,976539,558358,6032322,194.251,10489794
2021,3,40.174,41.437,2550229,1095772,710122,536364,4948174,163.269,10085541
2021,2,40.172,42.024,2531271,1080279,693277,647401,4661291,167.369,9863084
2021,1,39.487,41.674,2593477,1072722,737930,595920,4379965,186.797,9647972
2020,4,39.51,42.185,2622638,1073875,786595,582420,4239237,185.102,9571562
2020,3,41.038,44.005,2637984,1040017,799350,538567,4053461,201.777,9356199
2020,2,41.038,48.69,2651502,1053107,807775,523437,3711499,194.008,9031056
2020,1,42.55,56.17,2649819,1022014,814470,532309,3500882,194.212,8812426
2019,4,38.272,28.98,2792684,1046128,851619,1004083,2831253,200.162,8793181
2019,3,241.713,80.599,3309137,1026859,806466,1141545,2314898,243.467,9164684
2019,2,202.79,95.98,3444458,871142,1169632,1250366,1677830,247.983,8960181
2019,1,166.573,195.706,3428759,882836,1464748,1244215,1138728,126.57,8648135
2018,4,138.74,201.196,3349666,882388,1472634,1690612,599579,138.84,8473655
2018,3,5.675,220.589,3401277,859413,1607137,1571692,524777,156.475,8347035
2018,2,5.972,219.467,3316868,979416,1905839,1000036,444391,238.455,8110444
2018,1,7.309,215.406,3272724,976956,2068087,862010,397977,236.584,8037053
2017,4,15.041,221.474,3773159,1005545,1730353,631946,337559,155.145,7870222
2017,3,19.022,217.997,4062226,1062810,1592304,353480,245790,0.0,7553629
2017,2,22.366,222.766,4416065,990281,1342000,231604,98635,0.0,7323717
2017,1,20.653,230.159,4584534,975027,1129987,210668,47990,0.0,7199018
2016,4,20.724,233.398,4673339,971094,1038029,169522,38590,0.0,7144696
2016,3,20.104,294.413,4816081,936533,919208,124564,31022,0.0,7141925
2016,2,44.008,384.221,5058481,796998,785759,73977,29020,0.0,7172464
2016,1,30.428,404.81,4944358,762999,641646,27664,23380,0.0,6835285
2015,4,34.243,427.394,5049640,726740,639011,17568,22170,0.0,6916766
2015,3,35.03,455.777,5087802,701187,539414,13101,20677,0.0,6852988
2015,2,40.723,500.175,5138431,645440,432762,10045,18529,0.0,6786105
2015,1,41.158,516.919,5121423,571620,348102,7643,16347,0.0,6623212
2014,4,44.075,554.749,5084556,496251,276254,4371,15229,0.0,6475485
2014,3,37.43,608.018,5153437,373372,182483,507,12424,0.0,6367671
2014,2,41.064,656.408,5149574,341689,147273,478,12259,0.0,6348745
2014,1,52.684,687.619,5130294,289182,101127,345,11595,0.0,6272846
